frame_id,kp_name,kp_index,x_2d,y_2d
14,left_knee,13,NaN,NaN
14,right_knee,14,NaN,NaN
14,left_ankle,15,NaN,NaN
14,right_ankle,16,NaN,NaN
15,nose,0,1121.9902,749.19104
15,left_eye,1,1249.114,612.25055
15,right_eye,2,1032.5232,612.3103
15,left_ear,3,NaN,NaN
15,right_ear,4,932.6489,621.24915
15,left_shoulder,5,NaN,NaN
15,right_shoulder,6,NaN,NaN
15,left_elbow,7,NaN,NaN
15,right_elbow,8,NaN,NaN
15,left_wrist,9,NaN,NaN
15,right_wrist,10,NaN,NaN
15,left_hip,11,NaN,NaN
15,right_hip,12,NaN,NaN
15,left_knee,13,NaN,NaN
15,right_knee,14,NaN,NaN
15,left_ankle,15,NaN,NaN
15,right_ankle,16,NaN,NaN
16,nose,0,1113.7915,749.17474
16,left_eye,1,1243.1588,612.68994
16,right_eye,2,1028.3895,610.8835
16,left_ear,3,NaN,NaN
16,right_ear,4,NaN,NaN
16,left_shoulder,5,NaN,NaN
16,right_shoulder,6,NaN,NaN
16,left_elbow,7,NaN,NaN
16,right_elbow,8,NaN,NaN
16,left_wrist,9,NaN,NaN
16,right_wrist,10,NaN,NaN
16,left_hip,11,NaN,NaN
16,right_hip,12,NaN,NaN
16,left_knee,13,NaN,NaN
16,right_knee,14,NaN,NaN
16,left_ankle,15,NaN,NaN
16,right_ankle,16,NaN,NaN
17,nose,0,1105.7345,749.14154
17,left_eye,1,1243.6204,616.10205
17,right_eye,2,1024.1642,610.7609
17,left_ear,3,NaN,NaN
17,right_ear,4,NaN,NaN
17,left_shoulder,5,NaN,NaN
17,right_shoulder,6,NaN,NaN
17,left_elbow,7,NaN,NaN
17,right_elbow,8,NaN,NaN
17,left_wrist,9,NaN,NaN
17,right_wrist,10,NaN,NaN
17,left_hip,11,NaN,NaN
17,right_hip,12,NaN,NaN
17,left_knee,13,NaN,NaN
17,right_knee,14,NaN,NaN
17,left_ankle,15,NaN,NaN
17,right_ankle,16,NaN,NaN
18,nose,0,1100.9243,742.8717
18,left_eye,1,1236.2125,612.3889
18,right_eye,2,1019.69666,609.1875
18,left_ear,3,NaN,NaN
18,right_ear,4,NaN,NaN
18,left_shoulder,5,NaN,NaN
18,right_shoulder,6,NaN,NaN
18,left_elbow,7,NaN,NaN
18,right_elbow,8,NaN,NaN
18,left_wrist,9,NaN,NaN
18,right_wrist,10,NaN,NaN
18,left_hip,11,NaN,NaN
18,right_hip,12,NaN,NaN
18,left_knee,13,NaN,NaN
18,right_knee,14,NaN,NaN
18,left_ankle,15,NaN,NaN
18,right_ankle,16,NaN,NaN
19,nose,0,1092.3865,740.05536
19,left_eye,1,1229.0604,608.1422
19,right_eye,2,1013.25476,604.88794
19,left_ear,3,NaN,NaN
19,right_ear,4,NaN,NaN
19,left_shoulder,5,NaN,NaN
19,right_shoulder,6,NaN,NaN
19,left_elbow,7,NaN,NaN
19,right_elbow,8,NaN,NaN
19,left_wrist,9,NaN,NaN
19,right_wrist,10,NaN,NaN
19,left_hip,11,NaN,NaN
19,right_hip,12,NaN,NaN
19,left_knee,13,NaN,NaN
19,right_knee,14,NaN,NaN
19,left_ankle,15,NaN,NaN
19,right_ankle,16,NaN,NaN
20,nose,0,1081.4691,733.3021
20,left_eye,1,1218.0546,603.5697
20,right_eye,2,1006.29156,601.3096
20,left_ear,3,NaN,NaN
20,right_ear,4,NaN,NaN
20,left_shoulder,5,NaN,NaN
20,right_shoulder,6,NaN,NaN
